title,link,cn,type
SCP-083-D - "公爵”,/decomm:scp-083-d,false,decommissioned
SCP-122-D - 巨犬,/decomm:scp-122-d,false,decommissioned
SCP-135-D - 变形者,/decomm:scp-135-d,false,decommissioned
SCP-151-D - "K",/decomm:scp-151-d,false,decommissioned
SCP-153-D - 穿刺公之指,/decomm:scp-153-d,false,decommissioned
SCP-226-D - 科莫多巨蜥像,/decomm:scp-226-d,false,decommissioned
SCP-269-D - 驼鹿人,/decomm:scp-269-d,false,decommissioned
SCP-316-D - 无拘无束的Dyne,/decomm:scp-316-d,false,decommissioned
SCP-531-D - 梦想家,/decomm:scp-531-d,false,decommissioned
SCP-547-D - 自然之怒,/decomm:scp-547-d,false,decommissioned
SCP-723-D - 无敌的D级,/decomm:scp-723-d,false,decommissioned
SCP-809-D - SCP-808的自代入男友,/decomm:scp-809-d,false,decommissioned
SCP-857-D - 圣杯,/decomm:scp-857-d,false,decommissioned
SCP-1016-D - 半机械化少年,/decomm:scp-1016-d,false,decommissioned
